id,weighted_cosine,fc_sim,bn_sim,logit_corr,agreement,noise_logit,loss_corr
216,0.5418621,0.42724022,0.4273782,0.876657,0.7939453125,0.48025888,0.3980630340029742
217,0.33525628,-0.023727477,0.3053337,0.776918,0.55224609375,0.7579583,0.23572052909579957
218,0.98807836,0.9999968,0.99972665,0.9969057,0.9638671875,0.9948332,0.9557461943316555
219,0.36449695,0.019574285,0.34535795,0.8214789,0.6279296875,0.65654325,0.360762368632316
220,0.26529658,-0.124352455,0.20916605,0.30962694,0.16650390625,0.29576236,0.16331913497359257
221,0.97480786,0.99997807,0.9975096,0.98912483,0.9453125,0.9749247,0.885473820140158
222,0.30804798,0.044519722,0.15462554,0.57096833,0.2685546875,0.6371855,0.1184654027891201
223,0.34013015,-0.06924856,0.374242,0.574496,0.5,0.47529194,0.2813366703356664
224,0.9586905,0.89672625,1.0,0.9975906,0.9814453125,0.99611366,0.9881836196383119
225,0.29813075,-0.014047205,0.17620766,0.65403026,0.33349609375,0.6376622,0.12361820331129177
226,0.53592294,0.41888803,0.3333641,0.8597444,0.7783203125,0.36573586,0.3034989887262645
227,0.9924792,0.99613,0.9979292,0.96853495,0.8671875,0.9044566,0.5995959333382743
228,0.22139406,-0.060099334,0.050541997,0.06506256,0.04150390625,0.3063914,-0.01697683058962373
229,0.32423997,-0.030790895,0.25870097,0.71130246,0.46044921875,0.75578105,0.24177264108171923
230,0.2374844,-0.035787225,0.11621913,0.38525766,0.16650390625,0.30044502,0.09471447319565769
231,0.9981249,0.9973639,0.99954367,0.9785701,0.88818359375,0.96190923,0.7338280554836806
232,0.5380311,0.42142633,0.46011236,0.85807234,0.75830078125,0.4063653,0.30301182361413276
233,0.54184777,0.435719,0.3530409,0.8781085,0.787109375,0.4561913,0.38131406363902626
234,0.56951517,0.50138223,0.40593928,1.0,1.0,0.99999994,0.9999999989403617
235,0.2480468,-0.09207797,0.123025596,0.12935287,0.0390625,0.22462028,0.11396484275109438
236,0.9960139,0.99999917,0.99970984,0.9954419,0.94873046875,0.9863925,0.95814761111873
237,0.35444492,-0.044496983,0.36837083,0.7632145,0.75341796875,0.4154951,0.3202496731381161
238,0.5437703,0.4304585,0.5195625,0.8583466,0.7744140625,0.6439492,0.27542939490364804
239,0.9035448,0.7894341,0.9830796,0.93291086,0.83251953125,0.8345423,0.5813838394507268
240,0.35090244,0.041852444,0.24857539,0.68756855,0.4580078125,0.65313554,0.20436849536797316
241,0.35424352,0.03397703,0.25006512,0.8796916,0.7353515625,0.5976888,0.42168660565519467
242,0.5345708,0.4166741,0.36451113,0.85884535,0.76025390625,0.39526388,0.29249576693314566
243,0.97948,0.9696804,0.998505,0.95572686,0.93408203125,0.94735634,0.875637938476995
244,0.50500786,1.0,0.279594,1.0,1.0,1.0,0.9999999989933435
245,0.5007845,1.0,0.32177916,1.0,1.0,1.0,0.999999998834398
246,0.53468657,0.41056088,0.48590907,0.86010194,0.78271484375,0.5980786,0.3096268540158705
247,0.30765408,-0.14033002,0.406076,0.8841868,0.8046875,0.48124552,0.4147099860740152
248,0.4706955,0.26574236,0.3826356,0.8195948,0.70068359375,0.5830049,0.1689527974344241
